POLY_ID,LSOA21CD,LSOA21NM,LSOA21NMW,BNG_E,BNG_N,LAT,LONG,GlobalID,indicator_sex_female,indicator_Ethnic_nonwhite,indicator_education_noqualification,indicator_age_elder,indicator_age_children,indicator_NS-SeC_unemployed,indicator_NS-SeC_students,indicator_health_good,indicator_health_bad,NUMPOINTS,POPULATION,Shape_Leng,populati_1,area,ln1p,rate,MORAN_STD,MORAN_LAG,locationID,ClusterID,ClusterType,RelativeRisk
11,E01000013,Barking and Dagenham 013A,,549152,184943,51.544,0.15,{8E4ED521-0BBF-489F-AE73-E09F1EDC1F11},0.518,0.403,0.19,0.091,0.253,0.092,0.065,0.824,0.059,0,1873,3326.743,9011.827,0.208,0,0,-0.338,-0.334,11,3,high,2.29
12,E01000014,Barking and Dagenham 013B,,548350,184922,51.544,0.138,{59998A36-2438-478E-AD53-E3AB48289BF6},0.511,0.389,0.195,0.092,0.246,0.098,0.067,0.824,0.046,0,1751,4029.973,5131.438,0.341,0,0,-0.338,-0.332,12,3,high,2.29
13,E01000015,Barking and Dagenham 009A,,549586,184971,51.544,0.156,{F89D4854-26AB-4B80-A3D3-EBBD7647758B},0.532,0.437,0.162,0.068,0.283,0.086,0.079,0.852,0.04,0,2418,3294.614,8615.973,0.281,0,0,-0.338,-0.338,13,3,high,2.29
14,E01000016,Barking and Dagenham 009B,,549117,185496,51.549,0.149,{94722947-7F72-4888-A4BD-8CBFEC966F02},0.53,0.421,0.168,0.089,0.244,0.093,0.079,0.844,0.048,0,1849,2759.634,9301.601,0.199,0,0,-0.338,-0.338,14,3,high,2.29
15,E01000017,Barking and Dagenham 009C,,548925,185514,51.549,0.146,{2DD980DD-4975-4305-92A7-98E131E84BCB},0.521,0.486,0.19,0.096,0.244,0.105,0.074,0.822,0.066,0,1724,2233.167,10885.416,0.158,0,0,-0.338,-0.338,15,3,high,2.29
16,E01000018,Barking and Dagenham 009D,,549360,185259,51.546,0.153,{CADD92AF-8B92-4E77-B700-21A6F07D77CB},0.511,0.376,0.189,0.082,0.237,0.087,0.073,0.828,0.058,0,1776,2627.715,10207.609,0.174,0,0,-0.338,-0.338,16,3,high,2.29
17,E01000019,Barking and Dagenham 023A,,547104,186502,51.558,0.121,{107FB57B-1EBA-4E42-BCC2-3EE2E3341EC8},0.494,0.564,0.168,0.08,0.29,0.102,0.074,0.831,0.048,0,1657,3146.238,9050.734,0.183,0,0,-0.338,-0.33,17,3,high,2.29
18,E01000020,Barking and Dagenham 023B,,547400,186420,51.557,0.125,{6D44E0D5-EA64-4307-9783-05F2B0F6FF35},0.519,0.572,0.195,0.102,0.267,0.115,0.075,0.803,0.082,0,2190,3214.327,11696.261,0.187,0,0,-0.338,-0.333,18,3,high,2.29
19,E01000021,Barking and Dagenham 008A,,546830,186063,51.554,0.117,{3C9AEFC1-C75D-4927-8182-E12FC150AF27},0.506,0.552,0.174,0.081,0.271,0.121,0.074,0.822,0.054,35,1693,2793.644,9949.835,0.17,3.584,0.021,-0.32,-0.333,19,3,high,2.29
20,E01000022,Barking and Dagenham 008B,,547191,186049,51.554,0.122,{3099EE2B-CDA8-489A-A6F1-B6947F0F8E82},0.516,0.522,0.169,0.096,0.26,0.089,0.081,0.84,0.051,0,1478,1940.953,11523.083,0.128,0,0,-0.338,-0.331,20,3,high,2.29
21,E01000024,Barking and Dagenham 008D,,547218,185700,51.551,0.122,{FB41F2E5-F204-4841-9023-91B767D2D349},0.502,0.544,0.179,0.085,0.246,0.111,0.073,0.822,0.051,16,1485,2342.07,11544.157,0.129,2.833,0.011,-0.329,-0.325,21,3,high,2.29
22,E01000025,Barking and Dagenham 008E,,546897,185519,51.549,0.117,{10DB2401-0976-4417-BA02-AA6370FE4366},0.484,0.463,0.212,0.103,0.246,0.099,0.073,0.816,0.056,33,1920,2475.427,12520.126,0.153,3.526,0.017,-0.323,-0.323,22,3,high,2.29
24,E01000028,Barking and Dagenham 001B,,547673,189650,51.586,0.13,{524E6490-4308-4B26-8104-CEDD7A5D62DA},0.537,0.555,0.181,0.109,0.257,0.113,0.104,0.812,0.064,53,1817,2616.105,12626.975,0.144,3.989,0.029,-0.313,-0.128,24,3,high,2.29
25,E01000029,Barking and Dagenham 001C,,547983,188927,51.58,0.134,{5ABA6BDF-9A39-4B76-9F11-B332A3C0E31F},0.498,0.548,0.187,0.203,0.209,0.089,0.073,0.823,0.052,482,1820,4058.998,7084.851,0.257,6.18,0.265,-0.108,-0.15,25,3,high,2.29
26,E01000030,Barking and Dagenham 001D,,548065,189260,51.583,0.136,{69B3DEE2-F00C-4F66-AEDE-8EE8E52E98F2},0.533,0.539,0.15,0.068,0.331,0.093,0.075,0.835,0.058,690,2563,4895.686,8952.802,0.286,6.538,0.269,-0.104,-0.178,26,3,high,2.29
27,E01000031,Barking and Dagenham 002A,,548607,189077,51.581,0.143,{55DEC070-6066-492D-9054-32EC79C378CD},0.511,0.671,0.161,0.142,0.211,0.087,0.075,0.842,0.045,783,1770,5399.99,2098.516,0.843,6.664,0.442,0.046,-0.203,27,3,high,2.29
28,E01000032,Barking and Dagenham 002B,,548006,188376,51.575,0.134,{19E5CD66-2C22-4E5A-823D-F8621D1DFBE2},0.505,0.562,0.176,0.123,0.237,0.1,0.064,0.831,0.052,0,2075,3773.986,5526.795,0.375,0,0,-0.338,-0.261,28,3,high,2.29
29,E01000033,Barking and Dagenham 006A,,549985,186183,51.555,0.162,{0F876A92-6A65-4985-8EC6-B754B80EA3AD},0.521,0.387,0.202,0.106,0.275,0.101,0.064,0.793,0.071,0,1541,2507.845,10603.617,0.145,0,0,-0.338,-0.338,29,3,high,2.29
30,E01000034,Barking and Dagenham 003A,,550689,186433,51.557,0.172,{58917648-4712-4278-A7CC-7F73CBFD472A},0.524,0.363,0.225,0.169,0.196,0.109,0.081,0.783,0.067,0,1575,6006.964,3066.122,0.514,0,0,-0.338,-0.336,30,3,high,2.29
31,E01000035,Barking and Dagenham 010A,,549957,185575,51.549,0.161,{F0FEC07C-F0C3-4E33-954A-098F765384B1},0.505,0.473,0.217,0.133,0.216,0.103,0.094,0.824,0.068,0,1859,3609.981,4680.518,0.397,0,0,-0.338,-0.338,31,3,high,2.29
32,E01000036,Barking and Dagenham 010B,,550645,185231,51.546,0.171,{98A0FF78-6FDA-4645-BF20-D4E46F8AF874},0.51,0.529,0.187,0.112,0.211,0.081,0.081,0.842,0.047,0,1470,4394.01,3510.82,0.419,0,0,-0.338,-0.338,32,3,high,2.29
33,E01000037,Barking and Dagenham 003B,,551195,187087,51.562,0.18,{4A0B5457-5D64-4355-91FA-E461F371368E},0.493,0.363,0.172,0.145,0.173,0.079,0.061,0.848,0.033,0,1699,2905.666,7278.11,0.233,0,0,-0.338,-0.331,33,3,high,2.29
34,E01000038,Barking and Dagenham 003C,,550700,187149,51.563,0.173,{CCBFB9D2-388E-4E60-B8EB-E653F3281B6D},0.523,0.353,0.184,0.155,0.204,0.071,0.055,0.828,0.05,0,1616,2305.591,7549.546,0.214,0,0,-0.338,-0.325,34,3,high,2.29
35,E01000039,Barking and Dagenham 003D,,551175,186134,51.554,0.179,{54DE0D23-A5FA-48AF-B5C3-1026C2B01AF5},0.507,0.405,0.174,0.136,0.226,0.082,0.055,0.847,0.042,0,1753,7425.876,1144.366,1.532,0,0,-0.338,-0.335,35,3,high,2.29
36,E01000040,Barking and Dagenham 019A,,545597,184006,51.536,0.098,{2C4ACBC3-118B-414E-974B-377AD9490FEB},0.504,0.593,0.228,0.095,0.251,0.127,0.098,0.832,0.053,64,1877,2286.967,10995.324,0.171,4.174,0.034,-0.309,-0.293,36,3,high,2.29
37,E01000041,Barking and Dagenham 017A,,546785,184245,51.538,0.115,{2ACEE11C-D4AF-427A-85B3-1A16CC083270},0.508,0.417,0.19,0.093,0.253,0.083,0.084,0.857,0.041,105,1842,2343.723,12067.904,0.153,4.663,0.057,-0.289,-0.252,37,3,high,2.29
38,E01000042,Barking and Dagenham 017B,,546119,184117,51.537,0.105,{AC94737A-955A-4EFD-9C46-C6439148AC6F},0.506,0.538,0.16,0.064,0.296,0.114,0.079,0.832,0.057,181,1877,2610.109,8117.455,0.231,5.204,0.096,-0.254,-0.26,38,3,high,2.29
39,E01000043,Barking and Dagenham 019B,,545715,183752,51.534,0.099,{61FA0CF4-133F-4A2D-9FB4-B02091C075AB},0.495,0.573,0.189,0.108,0.21,0.12,0.105,0.84,0.052,76,1537,2336.082,5770.234,0.266,4.344,0.049,-0.295,-0.189,39,3,high,2.29
40,E01000044,Barking and Dagenham 016D,,545056,183987,51.536,0.09,{255E59EF-45CB-4C24-BFC8-77E16B4BFD93},0.518,0.603,0.168,0.059,0.242,0.085,0.094,0.846,0.054,88,1989,2717.386,11656.808,0.171,4.489,0.044,-0.3,-0.283,40,3,high,2.29
41,E01000045,Barking and Dagenham 017C,,546618,183883,51.535,0.113,{3ADFDCEB-53F4-48DE-8CEC-F85E11A82F07},0.515,0.499,0.169,0.09,0.256,0.093,0.084,0.829,0.051,544,1723,3473.59,5777.099,0.298,6.301,0.316,-0.064,-0.143,41,3,high,2.29
42,E01000046,Barking and Dagenham 017D,,547092,184102,51.537,0.119,{2BD7D37D-E556-4CC4-A2CD-FC84C0F027AE},0.519,0.43,0.179,0.084,0.258,0.088,0.078,0.831,0.066,30,1956,1817.887,12579.082,0.155,3.434,0.015,-0.325,-0.183,42,3,high,2.29
43,E01000049,Barking and Dagenham 021C,,544834,183351,51.53,0.087,{45CC6E02-F9A9-45C9-9960-5510FF35D42D},0.527,0.695,0.145,0.042,0.313,0.102,0.134,0.86,0.05,346,1973,2667.616,9297.299,0.212,5.849,0.175,-0.186,-0.107,43,3,high,2.29
44,E01000050,Barking and Dagenham 019C,,544777,183811,51.535,0.086,{09B67DC2-C43D-43CD-804D-5701D441DCE9},0.501,0.625,0.157,0.086,0.257,0.095,0.091,0.838,0.043,127,1839,2278.529,13359.39,0.138,4.852,0.069,-0.278,-0.205,44,3,high,2.29
45,E01000051,Barking and Dagenham 021D,,544519,183770,51.534,0.082,{1CC7C9E9-8A85-4EE6-9369-878792E46741},0.506,0.762,0.083,0.023,0.29,0.056,0.094,0.917,0.009,321,1107,1103.343,16613.342,0.067,5.775,0.29,-0.086,-0.207,45,3,high,2.29
46,E01000052,Barking and Dagenham 019D,,545344,183573,51.532,0.094,{026EB05C-CCC0-4A52-BE5A-95395EBF5864},0.508,0.593,0.183,0.082,0.281,0.102,0.071,0.852,0.044,155,2368,2609.885,11861.441,0.2,5.05,0.065,-0.281,-0.116,46,3,high,2.29
47,E01000053,Barking and Dagenham 020A,,548692,183738,51.533,0.142,{C9CD66A0-0FF6-405E-B20E-1C42633EE4C8},0.511,0.462,0.189,0.122,0.252,0.101,0.056,0.814,0.062,210,1616,3039.775,8932.465,0.181,5.352,0.13,-0.225,-0.13,47,3,high,2.29
48,E01000054,Barking and Dagenham 018A,,547985,184116,51.537,0.132,{1B59E5DA-0CFB-4E17-B49E-3567D8B7B5B3},0.519,0.413,0.176,0.109,0.268,0.075,0.074,0.841,0.049,24,1871,2872.505,10932.262,0.171,3.219,0.013,-0.327,-0.188,48,3,high,2.29
49,E01000055,Barking and Dagenham 018B,,547569,184072,51.536,0.126,{D2C1A3F6-3530-4580-9D5B-84523C984E2D},0.505,0.44,0.176,0.098,0.247,0.097,0.077,0.821,0.047,14,1705,2453.824,11673.105,0.146,2.708,0.008,-0.331,-0.056,49,3,high,2.29
50,E01000056,Barking and Dagenham 018C,,548327,183883,51.534,0.137,{3C1EA07A-DB83-45E5-8C31-E44CC11C126B},0.538,0.41,0.194,0.11,0.255,0.138,0.063,0.804,0.058,81,1702,3470.459,6987.41,0.244,4.407,0.048,-0.297,-0.108,50,3,high,2.29
51,E01000057,Barking and Dagenham 012A,,547715,184216,51.538,0.128,{CB471389-9CEB-483E-9252-48DA06284C59},0.539,0.455,0.183,0.101,0.259,0.096,0.083,0.841,0.051,54,1551,3001.163,10502.263,0.148,4.007,0.035,-0.308,-0.327,51,3,high,2.29
52,E01000058,Barking and Dagenham 018D,,548209,184418,51.539,0.136,{53CF9937-07F5-4A6A-A908-D3E52DF0EDE4},0.52,0.53,0.169,0.071,0.255,0.104,0.107,0.835,0.058,67,2138,2402.533,11734.755,0.182,4.22,0.031,-0.311,-0.325,52,3,high,2.29
53,E01000059,Barking and Dagenham 013C,,548649,184176,51.537,0.142,{046108C9-C29D-4371-A314-932F4FD7931B},0.524,0.379,0.195,0.133,0.242,0.089,0.075,0.802,0.048,24,1709,2820.103,8199.634,0.208,3.219,0.014,-0.326,-0.302,53,3,high,2.29
54,E01000060,Barking and Dagenham 006B,,549327,186583,51.558,0.153,{169BB4BA-CD48-4752-A559-05DBE15353EC},0.53,0.518,0.161,0.095,0.288,0.085,0.082,0.826,0.057,0,2180,5656.162,3963.037,0.55,0,0,-0.338,-0.335,54,3,high,2.29
55,E01000061,Barking and Dagenham 006C,,549508,187003,51.562,0.156,{B502D2E8-ACFF-4741-B6CA-985A4D4AE2F6},0.54,0.523,0.156,0.057,0.283,0.114,0.081,0.819,0.061,41,1924,4279.101,3151.648,0.61,3.738,0.021,-0.32,-0.283,55,3,high,2.29
56,E01000062,Barking and Dagenham 006D,,549341,186126,51.554,0.153,{819A0B96-30BE-42DD-927B-094E95116AB7},0.521,0.473,0.17,0.113,0.242,0.075,0.083,0.849,0.046,0,2218,3005.518,10020.33,0.221,0,0,-0.338,-0.338,56,3,high,2.29
57,E01000063,Barking and Dagenham 004A,,548881,186260,51.556,0.146,{E1A38C98-780D-428A-9B6D-DF4B70D08446},0.486,0.427,0.166,0.095,0.251,0.084,0.07,0.829,0.053,0,1778,2551.53,9811.01,0.181,0,0,-0.338,-0.338,57,3,high,2.29
58,E01000064,Barking and Dagenham 006E,,549618,185897,51.552,0.157,{1A73BC66-9740-4047-A5B2-C383B8B9E813},0.522,0.52,0.19,0.108,0.244,0.088,0.083,0.824,0.066,0,2296,2923.542,10994.868,0.209,0,0,-0.338,-0.338,58,3,high,2.29
59,E01000065,Barking and Dagenham 007A,,548717,185959,51.553,0.144,{C8E299BF-EF32-4A4E-9010-A60A4EB89D87},0.505,0.436,0.202,0.134,0.225,0.108,0.078,0.773,0.077,0,1982,2928.87,8486.003,0.234,0,0,-0.338,-0.338,59,3,high,2.29
60,E01000066,Barking and Dagenham 011A,,546103,185215,51.547,0.106,{E20D7E31-6163-47D1-AAA3-E0C433C88FB7},0.524,0.758,0.167,0.104,0.232,0.118,0.137,0.843,0.046,0,2499,2628.702,10202.528,0.245,0,0,-0.338,-0.315,60,3,high,2.29
61,E01000067,Barking and Dagenham 011B,,545740,185217,51.547,0.1,{0C07398B-8CA6-4A0F-9C28-306D7D076FF8},0.507,0.734,0.147,0.105,0.251,0.114,0.092,0.823,0.039,100,2235,2663.413,11613.062,0.192,4.615,0.045,-0.299,-0.316,61,3,high,2.29
62,E01000068,Barking and Dagenham 016E,,544859,184756,51.543,0.088,{5FE362F5-75D1-47F3-8451-E1F4E2721A60},0.47,0.737,0.187,0.107,0.177,0.129,0.104,0.848,0.041,49,1794,3362.85,5279.384,0.34,3.912,0.027,-0.315,-0.303,62,3,high,2.29
63,E01000069,Barking and Dagenham 011C,,545775,184726,51.543,0.101,{EA8F8966-0A7C-40D9-8E3E-8EBE33F4984B},0.477,0.741,0.143,0.094,0.212,0.098,0.078,0.868,0.028,70,2097,3273.741,10453.994,0.201,4.263,0.033,-0.309,-0.313,63,3,high,2.29
64,E01000070,Barking and Dagenham 011D,,545160,185057,51.546,0.092,{BC20A040-5AE3-45E3-8707-622E248E46F5},0.497,0.753,0.149,0.12,0.226,0.114,0.074,0.839,0.043,112,2073,3977.343,5291.184,0.392,4.727,0.054,-0.291,-0.314,64,3,high,2.29
65,E01000071,Barking and Dagenham 011E,,545909,184481,51.54,0.103,{809244D9-211B-424A-9BA3-B868F09EC22D},0.497,0.723,0.137,0.098,0.235,0.103,0.092,0.859,0.036,42,2606,3492.859,9632.714,0.271,3.761,0.016,-0.324,-0.299,65,3,high,2.29
66,E01000072,Barking and Dagenham 017E,,546500,184735,51.543,0.111,{E6C542A2-F5C1-49BC-99E9-1B09355FCA90},0.517,0.507,0.177,0.082,0.274,0.104,0.077,0.842,0.056,146,2147,3673.209,4128.024,0.52,4.99,0.068,-0.279,-0.31,66,3,high,2.29
67,E01000073,Barking and Dagenham 012B,,546613,185294,51.548,0.113,{5085A0DE-FDBA-4F7B-8443-75B9B64C06EC},0.516,0.431,0.173,0.105,0.264,0.09,0.075,0.831,0.052,42,1848,3599.117,6492.361,0.285,3.761,0.023,-0.319,-0.322,67,3,high,2.29
68,E01000074,Barking and Dagenham 012C,,547151,185083,51.545,0.121,{BDFB518D-07B5-477A-BAE6-75C2370A751D},0.519,0.437,0.186,0.09,0.27,0.089,0.084,0.82,0.063,42,1761,2052.212,10729.239,0.164,3.761,0.024,-0.318,-0.323,68,3,high,2.29
69,E01000075,Barking and Dagenham 012D,,547650,184901,51.544,0.128,{2D1B06E7-5779-4842-A09A-36214E5EFB7F},0.496,0.437,0.18,0.107,0.258,0.079,0.069,0.836,0.051,9,2081,3235.557,4021.036,0.518,2.303,0.004,-0.335,-0.324,69,3,high,2.29
70,E01000076,Barking and Dagenham 012E,,547148,184650,51.542,0.121,{74019356-FE00-4725-BC88-E70410B6044D},0.527,0.429,0.232,0.087,0.246,0.127,0.074,0.814,0.067,7,2161,2424.177,11340.394,0.191,2.079,0.003,-0.335,-0.31,70,3,high,2.29
71,E01000077,Barking and Dagenham 008F,,547526,185557,51.55,0.126,{7FA5B6F9-216E-4483-81F1-2998DFC1C411},0.507,0.501,0.195,0.087,0.248,0.1,0.07,0.805,0.058,72,1721,1901.69,9900.648,0.174,4.29,0.042,-0.302,-0.33,71,3,high,2.29
72,E01000078,Barking and Dagenham 007B,,547920,185914,51.553,0.132,{A6054253-A745-43F4-8FE2-39FB3136200E},0.524,0.477,0.193,0.077,0.288,0.097,0.071,0.824,0.07,0,1898,2560.29,10793.932,0.176,0,0,-0.338,-0.331,72,3,high,2.29
73,E01000079,Barking and Dagenham 009E,,548357,185228,51.546,0.138,{7B9E7DEB-F84D-46D4-B75A-AF4EB3793589},0.523,0.415,0.185,0.111,0.252,0.091,0.07,0.807,0.061,0,1716,3487.236,5540.626,0.31,0,0,-0.338,-0.338,73,3,high,2.29
74,E01000080,Barking and Dagenham 007C,,547793,185387,51.548,0.13,{8767036F-BED4-4F0A-8274-21FF60FC7830},0.501,0.442,0.187,0.068,0.248,0.083,0.067,0.828,0.064,0,1777,3706.845,7682.08,0.231,0,0,-0.338,-0.33,74,3,high,2.29
75,E01000081,Barking and Dagenham 007D,,548383,185642,51.55,0.139,{D8174B79-4D17-4167-87F7-881A1D055DF8},0.513,0.477,0.168,0.085,0.238,0.101,0.088,0.837,0.051,0,1975,2388.749,10631.036,0.186,0,0,-0.338,-0.338,75,3,high,2.29
76,E01000082,Barking and Dagenham 007E,,548336,186066,51.554,0.138,{24568F1C-9AF9-402F-BAF1-26BFB352909C},0.516,0.426,0.184,0.088,0.246,0.094,0.075,0.834,0.046,0,1913,2246.932,11903.491,0.161,0,0,-0.338,-0.338,76,3,high,2.29
77,E01000083,Barking and Dagenham 007F,,547656,186004,51.554,0.128,{95FB216F-62E0-405D-AE1D-E732C1917C36},0.541,0.48,0.202,0.089,0.28,0.105,0.072,0.809,0.06,19,1919,1849.655,10664.341,0.18,2.996,0.01,-0.33,-0.329,77,3,high,2.29
78,E01000084,Barking and Dagenham 013D,,548927,184480,51.54,0.146,{58B199A8-9533-4282-A894-FDCEF3C5501E},0.512,0.396,0.21,0.103,0.245,0.098,0.071,0.814,0.052,38,1438,2145.597,9584.583,0.15,3.664,0.026,-0.315,-0.329,78,3,high,2.29
79,E01000085,Barking and Dagenham 013E,,549219,184310,51.538,0.15,{4F24C8CB-F6D2-43B1-AE86-6033DBC49445},0.526,0.4,0.197,0.105,0.245,0.098,0.081,0.841,0.049,50,1647,2238.924,11328.507,0.145,3.932,0.03,-0.312,-0.293,79,3,high,2.29
80,E01000086,Barking and Dagenham 013F,,548930,184228,51.537,0.146,{7DDA20BF-E2AD-4321-85AD-4BC982397C91},0.524,0.419,0.188,0.107,0.247,0.086,0.089,0.801,0.055,0,1449,2312.971,10338.425,0.14,0,0,-0.338,-0.263,80,3,high,2.29
81,E01000087,Barking and Dagenham 020B,,549302,183523,51.531,0.151,{B4D9CDDA-3DEB-47FE-8146-A2EDF2D671F6},0.513,0.489,0.171,0.085,0.252,0.088,0.094,0.841,0.049,383,1636,3611.934,4391.391,0.373,5.951,0.234,-0.135,-0.103,81,3,high,2.29
82,E01000088,Barking and Dagenham 020C,,549628,183871,51.534,0.156,{86FD9CE2-B760-421A-8888-3CA04CC9905E},0.513,0.588,0.161,0.117,0.273,0.108,0.068,0.837,0.048,0,1976,3231.057,8725.838,0.226,0,0,-0.338,-0.219,82,3,high,2.29
83,E01000089,Barking and Dagenham 020D,,549942,183494,51.53,0.16,{E2E19DF1-DFE1-44EE-852D-14A3A11C425E},0.52,0.559,0.166,0.082,0.299,0.08,0.082,0.871,0.029,0,1824,2062.386,12546.85,0.145,0,0,-0.338,-0.176,83,3,high,2.29
84,E01000090,Barking and Dagenham 020E,,549578,182424,51.521,0.155,{B8BEE39E-0E8E-4360-9AE2-B80CD23AD374},0.508,0.614,0.166,0.087,0.284,0.081,0.095,0.867,0.033,955,1704,7377.984,872.631,1.953,6.863,0.56,0.149,-0.105,84,3,high,2.29
85,E01000091,Barking and Dagenham 022A,,546404,183091,51.528,0.109,{320ED7B7-BCE8-4EB2-8787-FBDBF3F12498},0.516,0.673,0.16,0.063,0.295,0.128,0.088,0.834,0.067,139,2091,3264.84,8489.563,0.246,4.942,0.066,-0.281,0.037,85,3,high,2.29
86,E01000093,Barking and Dagenham 022B,,545939,183286,51.53,0.103,{DB06C92A-2FB0-4C66-9C40-56633B4B23B1},0.51,0.622,0.192,0.065,0.266,0.12,0.091,0.822,0.064,859,1809,3748.783,6157.631,0.294,6.757,0.475,0.074,-0.062,86,3,high,2.29
87,E01000094,Barking and Dagenham 022C,,546779,182655,51.524,0.114,{F0565020-985F-4522-B408-B467E6812298},0.525,0.719,0.091,0.023,0.31,0.071,0.093,0.889,0.033,609,2461,5263.758,4081.671,0.603,6.413,0.247,-0.123,0.036,87,3,high,2.29
88,E01000095,Barking and Dagenham 018E,,548434,182821,51.525,0.138,{5BC48F75-7D68-41DA-8D53-7920CBAAA184},0.513,0.567,0.143,0.059,0.329,0.079,0.064,0.864,0.036,2030,2250,9858.852,983.043,2.289,7.616,0.902,0.446,-0.099,88,3,high,2.29
89,E01000096,Barking and Dagenham 022D,,546672,183423,51.531,0.113,{BDFB4570-B8EE-4F38-9EB5-B80F5650BBDF},0.534,0.671,0.145,0.052,0.333,0.087,0.118,0.853,0.046,1088,1658,4602.678,2752.245,0.602,6.993,0.656,0.232,-0.086,89,3,high,2.29
90,E01000097,Barking and Dagenham 023C,,547647,187147,51.564,0.129,{00752E23-1BEE-432A-A442-1FDFEC2562A1},0.519,0.478,0.202,0.111,0.249,0.123,0.079,0.806,0.068,29,1934,2187.311,10796.791,0.179,3.401,0.015,-0.325,-0.33,90,3,high,2.29
91,E01000098,Barking and Dagenham 023D,,547577,186670,51.56,0.128,{FAB1BA34-2EA0-4CF0-920F-796CD0A1C668},0.515,0.569,0.179,0.087,0.276,0.105,0.085,0.807,0.058,10,1933,3609.867,11022.804,0.175,2.398,0.005,-0.334,-0.331,91,3,high,2.29
92,E01000099,Barking and Dagenham 023E,,547973,187078,51.563,0.133,{31D9FCDC-D433-44D1-B575-0A4F9646CB1D},0.525,0.526,0.15,0.059,0.272,0.08,0.077,0.855,0.036,19,2778,2931.99,8963.061,0.31,2.996,0.007,-0.332,-0.332,92,3,high,2.29
93,E01000100,Barking and Dagenham 004B,,548358,186639,51.559,0.139,{B21A91F3-5C11-4671-B6EC-612B2621D65E},0.53,0.468,0.182,0.083,0.273,0.105,0.067,0.831,0.062,0,1940,3150.879,9174.156,0.211,0,0,-0.338,-0.334,93,3,high,2.29
94,E01000101,Barking and Dagenham 004C,,548745,186628,51.559,0.144,{6A5FD3BE-3829-4D37-BB00-0593D599798F},0.512,0.464,0.203,0.102,0.237,0.105,0.07,0.813,0.055,1,1697,2692.192,10356.825,0.164,0.693,0.001,-0.338,-0.332,94,3,high,2.29
